time,following_model_probability,minimum_boundary_clearance_exact,total_ADSI,ASPE_star,ASPEdot_star
14.3,0.03850058830953,7.727258855389,0.08665656782136924,0.9973584827853391,0.02852665835558393
14.4,0.02557743394007,6.803665449742,0.08447901017118656,0.9958842416435412,0.026304208162312864
14.5,0.01321081086506,5.880072044095,0.0821525610344747,0.9940786280692077,0.023944514202470478
14.6,0.001682979563158,4.956478638448,0.0796850955728874,0.9919413266975013,0.02145597443727375
14.7,0.0,4.032885232802,0.07708051290529265,0.989476939928845,0.018842443095278678
14.8,0.0,3.109291827155,0.07430542503482274,0.9866806112688301,0.0160687110198861
14.9,0.0,2.196724834839,0.07135438529134773,0.9835734230219714,0.013127638202158984
15.0,0.0,1.442220510186,0.06821271363432482,0.980189947242329,0.010001400850835193
15.1,0.0,1.2,0.06475559557159276,0.97661199665723,0.00655199550229677
15.2,0.0,1.2,0.06104497552883798,0.9728439581358799,0.0028450404688140345
15.3,0.0,1.2,0.057399806202474965,0.9687697264407467,-0.0007727418978402508
15.4,0.0,1.2,0.05384752255550292,0.9644538804753723,-0.004276287524488731
15.5,0.0,1.2,0.050206828373565396,0.9599449189627136,-0.007861560387444056
15.6,0.0,1.36,0.04657201005791774,0.9552246715306677,-0.011427095993534381
15.7,0.0,2.06455806409,0.04302785006501414,0.9502982921639107,-0.014883029217894146
15.8,0.0,2.97294466817,0.03962452000037163,0.9451656115291276,-0.018175975203591516
15.9,0.0,3.946846842734,0.03639318612925457,0.9398487672421122,-0.021274191388587407
16.0,0.0,4.947726750741,0.03334594352096762,0.9343944907928365,-0.024167793538938907
16.1,0.0,5.962013082844,0.030518672367340603,0.928830245219593,-0.026820364197696782
16.2,0.0,6.757543932525,0.027948650397897363,0.9231798149016258,-0.029193764357659774
16.3,0.0,6.969677180473,0.025648511717159705,0.9174707403898545,-0.03127631138960805
16.4,0.0,7.32472525082,0.023620882572325103,0.9117301843239857,-0.033066945199057486
16.5,0.0,7.80320446996,0.02185939644902153,0.9059816333056305,-0.0345739378184216
16.6,0.0,8.384008587782,0.020347920768134596,0.9002463152128618,-0.03581580653684799
16.7,0.0,9.047452680175,0.019065672070446182,0.8945432180509354,-0.036815873417670154
16.8,0.0,9.776727468842,0.017989989660644967,0.8888886506234455,-0.03759928657102315
16.9,0.0,10.55820060427,0.017099861329796004,0.8832960253309385,-0.038189255521340754
17.0,0.0,11.38112472474,0.016375862519498185,0.8777762798000481,-0.03860714283883479
17.1,0.0,12.23714018879,0.015800046797467084,0.8723384246824224,-0.03887261562072156
17.2,0.0,13.11977133947,0.015355363865827767,0.866989931230252,-0.03900428937019931
17.3,0.0,13.73981077017,0.015027022081526765,0.8617362308925407,-0.039018246565984765
17.4,0.0,14.24814373875,0.014801090912932233,0.8565815561346383,-0.03892957707994262
17.5,0.0,14.81215716903,0.014664787045216975,0.8515288951500717,-0.03875207091892269
17.6,0.0,15.4257447146,0.014606336631205308,0.8465804061510112,-0.03849839121048443
17.7,0.0,16.08323350574,0.01461508743655393,0.8417371541779222,-0.038179938100129145
17.8,0.0,16.77946363863,0.014681440004373734,0.8369994999471332,-0.03780694680048326
17.9,0.0,17.50981439079,0.014796753457022777,0.8323671791304519,-0.03738859286255781
18.0,0.0,18.27019430657,0.014953191237432696,0.8278394789942294,-0.03693316755555433
18.1,0.0,19.05700920921,0.01514395823466156,0.8234150998503816,-0.03644781676208653
18.2,0.0,19.86711856309,0.015363085382925641,0.8190923684993665,-0.03593878375216633
18.3,0.0,20.69778732135,0.015605332499048608,0.814869376818857,-0.03541152139370512
18.4,0.0,21.54663778876,0.01586603710151717,0.8107440607743883,-0.03487085802653844
18.5,0.0,22.41160413714,0.01614117895517509,0.8067142192081155,-0.03432092999714025
18.6,0.0,23.29089092328,0.016427287025273185,0.8027775815864289,-0.03376528496799207
18.7,0.0,24.18293613274,0.01672144258846755,0.7989318204320057,-0.03320687940154553
18.8,0.0,25.08637877415,0.017021110396916873,0.7951741972356751,-0.0326482355715145
18.9,0.0,26.00003076921,0.01732414303912999,0.7915020789725705,-0.03209146989279174
19.0,0.0,26.92285274632,0.01762870270908098,0.7879129551384226,-0.031538377233217424
19.1,0.0,27.85393329496,0.017933226314163046,0.7844043951981391,-0.03099046531672904
19.2,0.0,28.79247123816,0.018236421124822242,0.7809739249858451,-0.03044895146205156
19.3,0.0,29.73776050748,0.018537191571001123,0.7776190728241674,-0.029914843402605237
19.4,0.0,30.68917724541,0.018834628103719393,0.7743374531879192,-0.02938895647612315
19.5,0.0,31.64616880445,0.01912798670008949,0.7711267501089277,-0.02887193436855976
19.6,0.0,32.6082443563,0.0194166506135321,0.7679847508202781,-0.028364291952855943
19.7,0.0,33.57496686521,0.01970013123201354,0.7649092741958742,-0.027866409808232885
19.8,0.0,34.5459462166,0.019978060017140285,0.7618981355969424,-0.027378540551783258
19.9,0.0,35.52083332356,0.020250139344669287,0.7589492785004158,-0.026900869537612403
20.0,0.0,36.49931506207,0.020516146177280474,0.7560607148132406,-0.026433507139908465
20.1,0.0,37.48110990886,0.020775921011032938,0.7532305242461362,-0.02597650047205876
20.2,0.0,38.46596417614,0.021029358291010953,0.7504568536825138,-0.025529843542489227
20.3,0.0,39.45364875395,0.02127639811753894,0.7477379162015494,-0.02509348601548301
20.4,0.0,40.44395628521,0.021517018129664126,0.7450720086105871,-0.024667342964862875
20.5,0.0,41.4366987102,0.021751230167426923,0.7424574544681195,-0.02425129478793643
20.6,0.0,42.43170512718,0.02197907027533745,0.739892672307959,-0.02384520219482988
20.7,0.0,43.4288199241,0.022200601038615313,0.7373761051355047,-0.02344889922288826
20.8,0.0,44.42790114331,0.022415901258562063,0.7349062735028647,-0.02306220760809555
20.9,0.0,45.42881904694,0.022625064821748562,0.7324817538594155,-0.022684936606187627
21.0,0.0,46.43145485552,0.022828197793836515,0.7301011765747113,-0.022316885958134212
21.1,0.0,47.43569963646,0.02302541593027109,0.7277632239592621,-0.02195784841200493
21.2,0.0,48.44145332254,0.023216842547175164,0.7254666282988681,-0.021607611862507363
21.3,0.0,49.44862384334,0.023402606704178236,0.7232101699162565,-0.021265961160422505
21.4,0.0,50.45712635496,0.023582841656460858,0.7209926752706728,-0.020932679638063306
21.5,0.0,51.46688255568,0.023757683539624153,0.7188130151014288,-0.02060755038985274
