time,following_model_probability,minimum_boundary_clearance_exact
25.7,0.0,94.47106647011
25.8,0.0,95.50245232453
25.9,0.0,96.53402301779
26.0,0.0,97.56577268694
26.1,0.0,98.59769571344
26.2,0.0,99.6297867106
26.3,0.0,100.6620405118
26.4,0.0,101.6944521594
26.5,0.0,102.7270168943
26.6,0.0,103.7597301461
26.7,0.0,104.7925875241
26.8,0.0,105.8255848082
26.9,0.0,106.858717941
27.0,0.0,107.8919830201
27.1,0.0,108.9253762904
27.2,0.0,109.9588941378
27.3,0.0,110.9925330822
27.4,0.0,112.0262897716
27.5,0.0,113.0601609764
27.6,0.0,114.0941435833
27.7,0.0,115.1282345908
27.8,0.0,116.162431104
27.9,0.0,117.1967303298
28.0,0.0,118.2311295725
28.1,0.0,119.2656262299
28.2,0.0,120.3002177887
28.3,0.0,121.3349018214
28.4,0.0,122.3696759822
28.5,0.0,123.4045380041
28.6,0.0,124.4394856949
28.7,0.0,125.4745169347
28.8,0.0,126.509629673
28.9,0.0,127.5448219255
29.0,0.0,128.5800917716
29.1,0.0,129.6154373522
29.2,0.0,130.6508568667
